time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
3.759910,-0.011387,0.027724
3.764910,-0.010553,0.028408
3.769909,-0.009838,0.027724
3.774909,-0.013087,0.028408
3.779908,-0.012872,0.027724
3.784908,-0.014102,0.028408
3.789908,-0.014753,0.027724
3.794907,-0.015017,0.028408
3.799907,0.004345,0.027724
3.804907,0.006084,0.028408
3.809906,0.011657,0.027724
3.814906,0.013558,0.028408
3.819906,0.025719,0.027724
3.824905,0.031291,0.028408
3.829905,0.038114,0.027724
3.834904,0.042405,0.028408
3.839904,0.027664,0.027724
3.844904,0.028431,0.028408
3.849903,0.023821,0.027724
3.854903,0.021644,0.028408
3.859903,0.031425,0.027724
3.864902,0.031668,0.028408
3.869902,0.019884,0.027724
3.874902,0.020668,0.028408
3.879901,0.011591,0.027724
3.884901,0.011052,0.028408
3.889900,0.010013,0.027724
3.894900,0.006765,0.028408
3.899900,0.012999,0.027724
3.904899,0.013380,0.028408
3.909899,0.016135,0.027724
3.914899,0.015504,0.028408
3.919898,0.008317,0.027724
3.924898,0.009758,0.028408
3.929898,0.007139,0.027724
3.934897,0.005570,0.028408
3.939897,0.003280,0.027724
3.944896,0.004794,0.028408
3.949896,-0.007790,0.027724
3.954896,-0.006271,0.028408
3.959895,0.001991,0.027724
3.964895,0.001154,0.028408
3.969895,-0.010479,0.027724
3.974894,-0.010964,0.028408
3.979894,-0.020503,0.027724
3.984894,-0.016302,0.028408
3.989893,-0.025223,0.027724
3.994893,-0.027342,0.028408
3.999892,-0.025306,0.027724
4.004892,-0.026782,0.028408
4.009892,-0.035959,0.027724
4.014892,-0.035387,0.028408
4.019891,-0.025283,0.027724
4.024891,-0.025362,0.028408
4.029891,-0.019145,0.027724
4.034890,-0.018644,0.028408
4.039890,-0.035750,0.027724
4.044889,-0.037730,0.028408
4.049889,-0.040571,0.027724
4.054889,-0.041202,0.028408
4.059888,-0.038472,0.027724
4.064888,-0.042808,0.028408
4.069888,-0.043949,0.027724
4.074887,-0.043636,0.028408
4.079887,-0.021260,0.027724
4.084887,-0.024984,0.028408
4.089886,-0.020741,0.027724
4.094886,-0.024298,0.028408
4.099885,-0.024411,0.027724
4.104885,-0.028242,0.028408
4.109885,-0.027155,0.027724
4.114884,-0.030364,0.028408
4.119884,-0.020388,0.027724
4.124884,-0.019215,0.028408
4.129883,-0.015961,0.027724
4.134883,-0.018173,0.028408
4.139883,-0.021961,0.027724
4.144882,-0.025126,0.028408
4.149882,-0.018195,0.027724
4.154881,-0.020772,0.028408
4.159881,-0.022168,0.027724
4.164881,-0.023624,0.028408
4.169880,-0.026625,0.027724
4.174880,-0.028823,0.028408
4.179880,-0.028033,0.027724
4.184879,-0.030279,0.028408
4.189879,-0.032288,0.027724
4.194879,-0.035529,0.028408
4.199878,-0.036000,0.027724
4.204878,-0.037693,0.028408
4.209877,-0.035010,0.027724
4.214877,-0.036787,0.028408
4.219877,-0.031530,0.027724
4.224876,-0.032967,0.028408
4.229876,-0.027102,0.027724
4.234876,-0.027732,0.028408
4.239875,-0.018975,0.027724
4.244875,-0.019713,0.028408
4.249875,-0.009634,0.027724
4.254874,-0.011054,0.028408
4.259874,0.004818,0.027724
4.264874,0.003789,0.028408
4.269873,-0.002713,0.027724
4.274873,-0.003509,0.028408
4.279872,-0.013896,0.027724
4.284872,-0.015062,0.028408
4.289872,-0.000573,0.027724
4.294871,0.003252,0.028408
4.299871,0.019320,0.027724
4.304871,0.020919,0.028408
4.309870,0.024188,0.027724
4.314870,0.030403,0.028408
4.319870,0.022527,0.027724
4.324869,0.020237,0.028408
4.329869,0.022207,0.027724
4.334868,0.027243,0.028408
4.339868,0.035215,0.027724
4.344868,0.035888,0.028408
4.349867,0.047977,0.027724
4.354867,0.046704,0.028408
4.359867,0.039487,0.027724
4.364866,0.041941,0.028408
4.369866,0.042681,0.027724
4.374866,0.045054,0.028408
